id;code;description
intrastat_product.intrastat_transaction_11;11;Незабавна продажба/покупка, с изключение на пряка търговия със/от частни потребители (Сделки, включващи действителна промяна на собствеността с финансова компенсация)
intrastat_product.intrastat_transaction_12;12;Пряка търговия със/от частни потребители (вкл. дистанционни продажби)(Сделки, включващи действителна промяна на собствеността с финансова компенсация)
intrastat_product.intrastat_transaction_21;21;Връщане на стоки (Връщане и замяна на стоките безплатно след регистрирането на първоначалната сделка)
intrastat_product.intrastat_transaction_22;22;Замяна на върнати стоки (Връщане и замяна на стоките безплатно след регистрирането на първоначалната сделка)
intrastat_product.intrastat_transaction_23;23;Замяна (например в гаранционен срок) на стоки, които не са били върнати (Връщане и замяна на стоките безплатно след регистрирането на първоначалната сделка)
intrastat_product.intrastat_transaction_31;31;Движения към/от склад (с изключение на стоки, складирани до поискване от клиента и на консигнация) (Сделки, включващи планирана промяна на собствеността или промяна на собствеността без финансова компенсация)
intrastat_product.intrastat_transaction_32;32;Доставка за продажба след одобрение или след изпробване (включително стоки, складирани до поискване от клиента и на консигнация) (Сделки, включващи планирана промяна на собствеността или промяна на собствеността без финансова компенсация)
intrastat_product.intrastat_transaction_33;33;Финансов лизинг (Сделки, включващи планирана промяна на собствеността или промяна на собствеността без финансова компенсация)
intrastat_product.intrastat_transaction_34;34;Сделки, включващи прехвърляне на собственост без финансова компенсация (Сделки, включващи планирана промяна на собствеността или промяна на собствеността без финансова компенсация)
intrastat_product.intrastat_transaction_41;41;Стоки, които се очаква да бъдат върнати в първоначалната държава членка/държава на износ (Сделки с цел преработка по договор (без промяна на собствеността))
intrastat_product.intrastat_transaction_42;42;Стоки, които не се очаква да бъдат върнати в първоначалната държава членка/държава на износ (Сделки с цел преработка по договор (без промяна на собствеността))
intrastat_product.intrastat_transaction_51;51;Стоки, които са върнати в първоначалната държава членка/държава на износ (Сделки след преработка по договор (без промяна на собствеността))
intrastat_product.intrastat_transaction_52;52;Стоки, които не са върнати в първоначалната държава членка/държава на износ (Сделки след преработка по договор (без промяна на собствеността))
intrastat_product.intrastat_transaction_60;60;Специфични сделки, записвани за национални цели
intrastat_product.intrastat_transaction_71;71;Допускане на стоки за свободно обращение в държава членка с последващ износ за друга държава членка (Сделки с оглед/след митническото оформяне (без промяна на собствеността, във връзка със стоки в привиден внос или износ))
intrastat_product.intrastat_transaction_72;72;Транспортиране на стоки от една държава членка до друга държава членка с цел поставяне на стоките под митнически режим износ (Сделки с оглед/след митническото оформяне (без промяна на собствеността, във връзка със стоки в привиден внос или износ))
intrastat_product.intrastat_transaction_80;80;Сделки, включващи доставка на строителни материали и техническо оборудване по договор за общи строителни дейности или строителство на съоръжения, за които не е необходимо отделно фактуриране на стоките, а се издава фактура за целия договор
intrastat_product.intrastat_transaction_91;91;Наемане, заем, оперативен лизинг за повече от 24 месеца (Други сделки, които не могат да бъдат класифицирани под други кодове)
intrastat_product.intrastat_transaction_99;99;Друго (Други сделки, които не могат да бъдат класифицирани под други кодове)
